Epoch 1. Batch 0-19. Loss: 0.798586, Train acc 0.118750
Epoch 1. Batch 1720-1739. Loss: 0.042876, Train acc 0.965625
Epoch 1. Batch 1740-1759. Loss: 0.042646, Train acc 0.962500
Epoch 1. Batch 1760-1779. Loss: 0.044174, Train acc 0.965625
Epoch 1. Batch 1780-1799. Loss: 0.040598, Train acc 0.976562
Epoch 1. Batch 1800-1819. Loss: 0.048530, Train acc 0.962500
Epoch 1. Batch 1820-1839. Loss: 0.045100, Train acc 0.962500
Epoch 1. Batch 1840-1859. Loss: 0.047652, Train acc 0.962500
Epoch 1. Loss: 0.066835, Train acc 0.942250, Test acc 0.971845
Epoch 2. Batch 0-19. Loss: 0.041751, Train acc 0.976562
Epoch 2. Batch 20-39. Loss: 0.034408, Train acc 0.979688
Epoch 2. Batch 40-59. Loss: 0.042131, Train acc 0.965625
Epoch 2. Batch 60-79. Loss: 0.039483, Train acc 0.970313
Epoch 2. Batch 80-99. Loss: 0.043739, Train acc 0.962500
Epoch 2. Batch 100-119. Loss: 0.043498, Train acc 0.967187
Epoch 2. Batch 120-139. Loss: 0.043125, Train acc 0.965625
Epoch 2. Batch 140-159. Loss: 0.032951, Train acc 0.976562
Epoch 2. Batch 160-179. Loss: 0.032632, Train acc 0.973437
Epoch 2. Batch 180-199. Loss: 0.033875, Train acc 0.973437
Epoch 2. Batch 200-219. Loss: 0.035114, Train acc 0.971875
Epoch 2. Batch 220-239. Loss: 0.034339, Train acc 0.973437
Epoch 2. Batch 240-259. Loss: 0.033147, Train acc 0.981250
Epoch 2. Batch 260-279. Loss: 0.034585, Train acc 0.971875
Epoch 2. Batch 280-299. Loss: 0.040960, Train acc 0.970313
Epoch 2. Batch 300-319. Loss: 0.041803, Train acc 0.970313
Epoch 2. Batch 320-339. Loss: 0.042768, Train acc 0.964063
Epoch 2. Batch 340-359. Loss: 0.038535, Train acc 0.968750
Epoch 2. Batch 360-379. Loss: 0.036138, Train acc 0.976562
Epoch 2. Batch 380-399. Loss: 0.042396, Train acc 0.960938
Epoch 2. Batch 400-419. Loss: 0.043601, Train acc 0.967187
Epoch 2. Batch 420-439. Loss: 0.038931, Train acc 0.967187
Epoch 2. Batch 440-459. Loss: 0.041702, Train acc 0.970313
Epoch 2. Batch 460-479. Loss: 0.033001, Train acc 0.971875
Epoch 2. Batch 480-499. Loss: 0.045482, Train acc 0.960938
Epoch 2. Batch 500-519. Loss: 0.046179, Train acc 0.968750
Epoch 2. Batch 520-539. Loss: 0.044456, Train acc 0.970313
Epoch 2. Batch 540-559. Loss: 0.036294, Train acc 0.968750
Epoch 2. Batch 560-579. Loss: 0.046132, Train acc 0.953125
Epoch 2. Batch 580-599. Loss: 0.047270, Train acc 0.956250
Epoch 2. Batch 600-619. Loss: 0.038473, Train acc 0.978125
Epoch 2. Batch 620-639. Loss: 0.037258, Train acc 0.978125
Epoch 2. Batch 640-659. Loss: 0.046154, Train acc 0.962500
Epoch 2. Batch 660-679. Loss: 0.042683, Train acc 0.967187
Epoch 2. Batch 680-699. Loss: 0.044440, Train acc 0.964063
Epoch 2. Batch 700-719. Loss: 0.033670, Train acc 0.975000
Epoch 2. Batch 720-739. Loss: 0.034699, Train acc 0.976562
Epoch 2. Batch 740-759. Loss: 0.037186, Train acc 0.978125
Epoch 2. Batch 760-779. Loss: 0.042869, Train acc 0.964063
Epoch 2. Batch 780-799. Loss: 0.039840, Train acc 0.971875
Epoch 2. Batch 800-819. Loss: 0.034873, Train acc 0.962500
Epoch 2. Batch 820-839. Loss: 0.037681, Train acc 0.973437
Epoch 2. Batch 840-859. Loss: 0.037966, Train acc 0.976562
Epoch 2. Batch 860-879. Loss: 0.035987, Train acc 0.973437
Epoch 2. Batch 880-899. Loss: 0.042617, Train acc 0.962500
Epoch 2. Batch 900-919. Loss: 0.046682, Train acc 0.960938
Epoch 2. Batch 920-939. Loss: 0.045557, Train acc 0.967187
Epoch 2. Batch 940-959. Loss: 0.045908, Train acc 0.964063
Epoch 2. Batch 960-979. Loss: 0.043698, Train acc 0.968750
Epoch 2. Batch 980-999. Loss: 0.047192, Train acc 0.962500
Epoch 2. Batch 1000-1019. Loss: 0.048535, Train acc 0.957812
Epoch 2. Batch 1020-1039. Loss: 0.051251, Train acc 0.967187
Epoch 2. Batch 1040-1059. Loss: 0.046551, Train acc 0.967187
Epoch 2. Batch 1060-1079. Loss: 0.035685, Train acc 0.982812
Epoch 2. Batch 1080-1099. Loss: 0.039105, Train acc 0.970313
Epoch 2. Batch 1100-1119. Loss: 0.045706, Train acc 0.960938
Epoch 2. Batch 1120-1139. Loss: 0.049550, Train acc 0.957812
Epoch 2. Batch 1140-1159. Loss: 0.055398, Train acc 0.943750
Epoch 2. Batch 1160-1179. Loss: 0.043678, Train acc 0.964063
Epoch 2. Batch 1180-1199. Loss: 0.051613, Train acc 0.962500
Epoch 2. Batch 1200-1219. Loss: 0.046094, Train acc 0.973437
Epoch 2. Batch 1220-1239. Loss: 0.034809, Train acc 0.978125
Epoch 2. Batch 1240-1259. Loss: 0.034143, Train acc 0.978125
Epoch 2. Batch 1260-1279. Loss: 0.037497, Train acc 0.976562
Epoch 2. Batch 1280-1299. Loss: 0.031531, Train acc 0.976562
Epoch 2. Batch 1300-1319. Loss: 0.042310, Train acc 0.968750
Epoch 2. Batch 1320-1339. Loss: 0.044090, Train acc 0.960938
Epoch 2. Batch 1340-1359. Loss: 0.047340, Train acc 0.962500
Epoch 2. Batch 1360-1379. Loss: 0.040423, Train acc 0.971875
Epoch 2. Batch 1380-1399. Loss: 0.038946, Train acc 0.975000
Epoch 2. Batch 1400-1419. Loss: 0.033469, Train acc 0.979688
Epoch 2. Batch 1420-1439. Loss: 0.039483, Train acc 0.967187
Epoch 2. Batch 1440-1459. Loss: 0.041486, Train acc 0.970313
Epoch 2. Batch 1460-1479. Loss: 0.035093, Train acc 0.979688
Epoch 2. Batch 1480-1499. Loss: 0.036220, Train acc 0.979688
Epoch 2. Batch 1500-1519. Loss: 0.037381, Train acc 0.976562
Epoch 2. Batch 1520-1539. Loss: 0.043774, Train acc 0.967187
Epoch 2. Batch 1540-1559. Loss: 0.042247, Train acc 0.968750
Epoch 2. Batch 1560-1579. Loss: 0.044770, Train acc 0.956250
Epoch 2. Batch 1580-1599. Loss: 0.035341, Train acc 0.979688
Epoch 2. Batch 1600-1619. Loss: 0.040816, Train acc 0.968750
Epoch 2. Batch 1620-1639. Loss: 0.046771, Train acc 0.954688
Epoch 2. Batch 1640-1659. Loss: 0.042274, Train acc 0.965625
Epoch 2. Batch 1660-1679. Loss: 0.046548, Train acc 0.956250
Epoch 2. Batch 1680-1699. Loss: 0.035156, Train acc 0.978125
Epoch 2. Batch 1700-1719. Loss: 0.045908, Train acc 0.953125
Epoch 2. Batch 1720-1739. Loss: 0.036798, Train acc 0.970313
Epoch 2. Batch 1740-1759. Loss: 0.035416, Train acc 0.978125
Epoch 2. Batch 1760-1779. Loss: 0.040771, Train acc 0.968750
Epoch 2. Batch 1780-1799. Loss: 0.046147, Train acc 0.965625
Epoch 2. Batch 1800-1819. Loss: 0.034772, Train acc 0.976562
Epoch 2. Batch 1820-1839. Loss: 0.044049, Train acc 0.960938
Epoch 2. Batch 1840-1859. Loss: 0.036312, Train acc 0.973437
Epoch 2. Loss: 0.040743, Train acc 0.968967, Test acc 0.970946
Epoch 3. Batch 0-19. Loss: 0.033809, Train acc 0.973437
Epoch 3. Batch 20-39. Loss: 0.039388, Train acc 0.973437
Epoch 3. Batch 40-59. Loss: 0.039837, Train acc 0.970313
Epoch 3. Batch 60-79. Loss: 0.031904, Train acc 0.985938
Epoch 3. Batch 80-99. Loss: 0.040605, Train acc 0.968750
Epoch 3. Batch 100-119. Loss: 0.033039, Train acc 0.982812
Epoch 3. Batch 120-139. Loss: 0.039487, Train acc 0.967187
Epoch 3. Batch 140-159. Loss: 0.038774, Train acc 0.967187
Epoch 3. Batch 160-179. Loss: 0.045400, Train acc 0.956250
Epoch 3. Batch 180-199. Loss: 0.040428, Train acc 0.970313
Epoch 3. Batch 200-219. Loss: 0.043963, Train acc 0.964063
Epoch 3. Batch 220-239. Loss: 0.039621, Train acc 0.971875
Epoch 3. Batch 240-259. Loss: 0.032303, Train acc 0.982812
Epoch 3. Batch 260-279. Loss: 0.036183, Train acc 0.971875
Epoch 3. Batch 280-299. Loss: 0.034554, Train acc 0.976562
Epoch 3. Batch 300-319. Loss: 0.035950, Train acc 0.971875
Epoch 3. Batch 320-339. Loss: 0.035296, Train acc 0.973437
Epoch 3. Batch 340-359. Loss: 0.037930, Train acc 0.975000
Epoch 3. Batch 360-379. Loss: 0.039935, Train acc 0.967187
Epoch 3. Batch 380-399. Loss: 0.035883, Train acc 0.968750
Epoch 3. Batch 400-419. Loss: 0.038893, Train acc 0.971875
Epoch 3. Batch 420-439. Loss: 0.035995, Train acc 0.970313
Epoch 3. Batch 440-459. Loss: 0.035632, Train acc 0.978125
Epoch 3. Batch 460-479. Loss: 0.033507, Train acc 0.976562
Epoch 3. Batch 480-499. Loss: 0.030148, Train acc 0.979688
Epoch 3. Batch 500-519. Loss: 0.034423, Train acc 0.973437
Epoch 3. Batch 520-539. Loss: 0.033037, Train acc 0.982812
Epoch 3. Batch 540-559. Loss: 0.041883, Train acc 0.971875
Epoch 3. Batch 560-579. Loss: 0.036541, Train acc 0.981250
Epoch 3. Batch 580-599. Loss: 0.037117, Train acc 0.973437
Epoch 3. Batch 600-619. Loss: 0.041920, Train acc 0.967187
Epoch 3. Batch 620-639. Loss: 0.041138, Train acc 0.968750
Epoch 3. Batch 640-659. Loss: 0.032510, Train acc 0.973437
Epoch 3. Batch 660-679. Loss: 0.039293, Train acc 0.973437
Epoch 3. Batch 680-699. Loss: 0.042558, Train acc 0.965625
Epoch 3. Batch 700-719. Loss: 0.038398, Train acc 0.978125
Epoch 3. Batch 720-739. Loss: 0.049536, Train acc 0.959375
Epoch 3. Batch 740-759. Loss: 0.041642, Train acc 0.967187
Epoch 3. Batch 760-779. Loss: 0.037479, Train acc 0.971875
Epoch 3. Batch 780-799. Loss: 0.048657, Train acc 0.962500
Epoch 3. Batch 800-819. Loss: 0.045233, Train acc 0.967187
Epoch 3. Batch 820-839. Loss: 0.044990, Train acc 0.962500
Epoch 3. Batch 840-859. Loss: 0.051290, Train acc 0.959375
Epoch 3. Batch 860-879. Loss: 0.040239, Train acc 0.971875
Epoch 3. Batch 880-899. Loss: 0.040723, Train acc 0.975000
Epoch 3. Batch 900-919. Loss: 0.033665, Train acc 0.975000
Epoch 3. Batch 920-939. Loss: 0.041551, Train acc 0.965625
Epoch 3. Batch 940-959. Loss: 0.035559, Train acc 0.979688
Epoch 3. Batch 960-979. Loss: 0.036627, Train acc 0.973437
Epoch 3. Batch 980-999. Loss: 0.043797, Train acc 0.965625
Epoch 3. Batch 1000-1019. Loss: 0.040553, Train acc 0.968750
Epoch 3. Batch 1020-1039. Loss: 0.038070, Train acc 0.965625
Epoch 3. Batch 1040-1059. Loss: 0.040896, Train acc 0.964063
Epoch 3. Batch 1060-1079. Loss: 0.036427, Train acc 0.982812
Epoch 3. Batch 1080-1099. Loss: 0.046942, Train acc 0.964063
Epoch 3. Batch 1100-1119. Loss: 0.040901, Train acc 0.967187
Epoch 3. Batch 1120-1139. Loss: 0.041007, Train acc 0.964063
Epoch 3. Batch 1140-1159. Loss: 0.048133, Train acc 0.965625
Epoch 3. Batch 1160-1179. Loss: 0.043344, Train acc 0.960938
Epoch 3. Batch 1180-1199. Loss: 0.038450, Train acc 0.965625
Epoch 3. Batch 1200-1219. Loss: 0.038588, Train acc 0.971875
Epoch 3. Batch 1220-1239. Loss: 0.037347, Train acc 0.965625
Epoch 3. Batch 1240-1259. Loss: 0.041590, Train acc 0.957812
Epoch 3. Batch 1260-1279. Loss: 0.040871, Train acc 0.968750
Epoch 3. Batch 1280-1299. Loss: 0.039967, Train acc 0.964063
Epoch 3. Batch 1300-1319. Loss: 0.036251, Train acc 0.973437
Epoch 3. Batch 1320-1339. Loss: 0.037421, Train acc 0.968750
Epoch 3. Batch 1340-1359. Loss: 0.039166, Train acc 0.968750
Epoch 3. Batch 1360-1379. Loss: 0.039059, Train acc 0.968750
Epoch 3. Batch 1380-1399. Loss: 0.041366, Train acc 0.970313
Epoch 3. Batch 1400-1419. Loss: 0.041202, Train acc 0.967187
Epoch 3. Batch 1420-1439. Loss: 0.042928, Train acc 0.967187
Epoch 3. Batch 1440-1459. Loss: 0.036716, Train acc 0.970313
Epoch 3. Batch 1460-1479. Loss: 0.052598, Train acc 0.965625
Epoch 3. Batch 1480-1499. Loss: 0.035914, Train acc 0.976562
Epoch 3. Batch 1500-1519. Loss: 0.037231, Train acc 0.976562
Epoch 3. Batch 1520-1539. Loss: 0.048598, Train acc 0.953125
Epoch 3. Batch 1540-1559. Loss: 0.043939, Train acc 0.957812
Epoch 3. Batch 1560-1579. Loss: 0.036021, Train acc 0.975000
Epoch 3. Batch 1580-1599. Loss: 0.039336, Train acc 0.970313
Epoch 3. Batch 1600-1619. Loss: 0.045609, Train acc 0.965625
Epoch 3. Batch 1620-1639. Loss: 0.046779, Train acc 0.967187
Epoch 3. Batch 1640-1659. Loss: 0.047960, Train acc 0.956250
Epoch 3. Batch 1660-1679. Loss: 0.044422, Train acc 0.962500
Epoch 3. Batch 1680-1699. Loss: 0.035943, Train acc 0.973437
Epoch 3. Batch 1700-1719. Loss: 0.039681, Train acc 0.965625
Epoch 3. Batch 1720-1739. Loss: 0.035772, Train acc 0.975000
Epoch 3. Batch 1740-1759. Loss: 0.031135, Train acc 0.978125
Epoch 3. Batch 1760-1779. Loss: 0.039860, Train acc 0.970313
Epoch 3. Batch 1780-1799. Loss: 0.044522, Train acc 0.965625
Epoch 3. Batch 1800-1819. Loss: 0.045539, Train acc 0.965625
Epoch 3. Batch 1820-1839. Loss: 0.045701, Train acc 0.971875
Epoch 3. Batch 1840-1859. Loss: 0.040760, Train acc 0.962500
Epoch 3. Loss: 0.039815, Train acc 0.969833, Test acc 0.969948
Epoch 4. Batch 0-19. Loss: 0.039642, Train acc 0.970313
Epoch 4. Batch 20-39. Loss: 0.034366, Train acc 0.970313
Epoch 4. Batch 40-59. Loss: 0.041252, Train acc 0.965625
Epoch 4. Batch 60-79. Loss: 0.037596, Train acc 0.971875
Epoch 4. Batch 80-99. Loss: 0.036936, Train acc 0.975000
Epoch 4. Batch 100-119. Loss: 0.028372, Train acc 0.984375
Epoch 4. Batch 120-139. Loss: 0.038898, Train acc 0.967187
Epoch 4. Batch 140-159. Loss: 0.040007, Train acc 0.964063
Epoch 4. Batch 160-179. Loss: 0.036289, Train acc 0.973437
Epoch 4. Batch 180-199. Loss: 0.035959, Train acc 0.973437
Epoch 4. Batch 200-219. Loss: 0.034244, Train acc 0.978125
Epoch 4. Batch 220-239. Loss: 0.039238, Train acc 0.979688
Epoch 4. Batch 240-259. Loss: 0.040656, Train acc 0.978125
Epoch 4. Batch 260-279. Loss: 0.034654, Train acc 0.979688
Epoch 4. Batch 280-299. Loss: 0.036823, Train acc 0.967187
Epoch 4. Batch 300-319. Loss: 0.039612, Train acc 0.971875
Epoch 4. Batch 320-339. Loss: 0.034095, Train acc 0.971875
Epoch 4. Batch 340-359. Loss: 0.031584, Train acc 0.979688
Epoch 4. Batch 360-379. Loss: 0.032970, Train acc 0.976562
Epoch 4. Batch 380-399. Loss: 0.038919, Train acc 0.970313
Epoch 4. Batch 400-419. Loss: 0.036988, Train acc 0.971875
Epoch 4. Batch 420-439. Loss: 0.033397, Train acc 0.981250
Epoch 4. Batch 440-459. Loss: 0.037683, Train acc 0.968750
Epoch 4. Batch 460-479. Loss: 0.039084, Train acc 0.970313
Epoch 4. Batch 480-499. Loss: 0.035686, Train acc 0.973437
Epoch 4. Batch 500-519. Loss: 0.032481, Train acc 0.971875
Epoch 4. Batch 520-539. Loss: 0.037780, Train acc 0.971875
Epoch 4. Batch 540-559. Loss: 0.038020, Train acc 0.968750
Epoch 4. Batch 560-579. Loss: 0.038218, Train acc 0.976562
Epoch 4. Batch 580-599. Loss: 0.039876, Train acc 0.962500
Epoch 4. Batch 600-619. Loss: 0.037299, Train acc 0.971875
Epoch 4. Batch 620-639. Loss: 0.040454, Train acc 0.968750
Epoch 4. Batch 640-659. Loss: 0.036538, Train acc 0.973437
Epoch 4. Batch 660-679. Loss: 0.031598, Train acc 0.979688
Epoch 4. Batch 680-699. Loss: 0.045997, Train acc 0.964063
Epoch 4. Batch 700-719. Loss: 0.033403, Train acc 0.979688
Epoch 4. Batch 720-739. Loss: 0.039213, Train acc 0.970313
Epoch 4. Batch 740-759. Loss: 0.029518, Train acc 0.979688
Epoch 4. Batch 760-779. Loss: 0.041451, Train acc 0.964063
Epoch 4. Batch 780-799. Loss: 0.045722, Train acc 0.968750
Epoch 4. Batch 800-819. Loss: 0.033782, Train acc 0.979688
Epoch 4. Batch 820-839. Loss: 0.040677, Train acc 0.968750
Epoch 4. Batch 840-859. Loss: 0.045812, Train acc 0.962500
Epoch 4. Batch 860-879. Loss: 0.036403, Train acc 0.970313
Epoch 4. Batch 880-899. Loss: 0.038510, Train acc 0.976562
Epoch 4. Batch 900-919. Loss: 0.045281, Train acc 0.970313
Epoch 4. Batch 920-939. Loss: 0.043260, Train acc 0.967187
Epoch 4. Batch 940-959. Loss: 0.036643, Train acc 0.970313
Epoch 4. Batch 960-979. Loss: 0.029888, Train acc 0.987500
Epoch 4. Batch 980-999. Loss: 0.040888, Train acc 0.964063
Epoch 4. Batch 1000-1019. Loss: 0.035180, Train acc 0.973437
Epoch 4. Batch 1020-1039. Loss: 0.033965, Train acc 0.976562
Epoch 4. Batch 1040-1059. Loss: 0.040340, Train acc 0.973437
Epoch 4. Batch 1060-1079. Loss: 0.046098, Train acc 0.959375
Epoch 4. Batch 1080-1099. Loss: 0.041635, Train acc 0.960938
Epoch 4. Batch 1100-1119. Loss: 0.040662, Train acc 0.973437
Epoch 4. Batch 1120-1139. Loss: 0.032149, Train acc 0.979688
Epoch 4. Batch 1140-1159. Loss: 0.040364, Train acc 0.970313
Epoch 4. Batch 1160-1179. Loss: 0.038576, Train acc 0.973437
Epoch 4. Batch 1180-1199. Loss: 0.038676, Train acc 0.971875
Epoch 4. Batch 1200-1219. Loss: 0.035330, Train acc 0.971875
Epoch 4. Batch 1220-1239. Loss: 0.041311, Train acc 0.967187
Epoch 4. Batch 1240-1259. Loss: 0.039629, Train acc 0.970313
Epoch 4. Batch 1260-1279. Loss: 0.043610, Train acc 0.964063
Epoch 4. Batch 1280-1299. Loss: 0.036870, Train acc 0.973437
Epoch 4. Batch 1300-1319. Loss: 0.034491, Train acc 0.979688
Epoch 4. Batch 1320-1339. Loss: 0.039038, Train acc 0.967187
Epoch 4. Batch 1340-1359. Loss: 0.040237, Train acc 0.968750
Epoch 4. Batch 1360-1379. Loss: 0.034238, Train acc 0.981250
Epoch 4. Batch 1380-1399. Loss: 0.045164, Train acc 0.965625
Epoch 4. Batch 1400-1419. Loss: 0.033349, Train acc 0.978125
Epoch 4. Batch 1420-1439. Loss: 0.036139, Train acc 0.964063
Epoch 4. Batch 1440-1459. Loss: 0.036875, Train acc 0.968750
Epoch 4. Batch 1460-1479. Loss: 0.035544, Train acc 0.968750
Epoch 4. Batch 1480-1499. Loss: 0.042735, Train acc 0.962500
Epoch 4. Batch 1500-1519. Loss: 0.037513, Train acc 0.968750
Epoch 4. Batch 1520-1539. Loss: 0.036190, Train acc 0.971875
Epoch 4. Batch 1540-1559. Loss: 0.041070, Train acc 0.968750
Epoch 4. Batch 1560-1579. Loss: 0.038927, Train acc 0.967187
Epoch 4. Batch 1580-1599. Loss: 0.039271, Train acc 0.971875
Epoch 4. Batch 1600-1619. Loss: 0.046613, Train acc 0.965625
Epoch 4. Batch 1620-1639. Loss: 0.039131, Train acc 0.964063
Epoch 4. Batch 1640-1659. Loss: 0.046758, Train acc 0.957812
Epoch 4. Batch 1660-1679. Loss: 0.038985, Train acc 0.976562
Epoch 4. Batch 1680-1699. Loss: 0.042727, Train acc 0.960938
Epoch 4. Batch 1700-1719. Loss: 0.040760, Train acc 0.968750
Epoch 4. Batch 1720-1739. Loss: 0.034499, Train acc 0.982812
Epoch 4. Batch 1740-1759. Loss: 0.039884, Train acc 0.965625
Epoch 4. Batch 1760-1779. Loss: 0.042684, Train acc 0.957812
Epoch 4. Batch 1780-1799. Loss: 0.046539, Train acc 0.962500
Epoch 4. Batch 1800-1819. Loss: 0.042256, Train acc 0.960938
Epoch 4. Batch 1820-1839. Loss: 0.050832, Train acc 0.954688
Epoch 4. Batch 1840-1859. Loss: 0.047014, Train acc 0.968750
Epoch 4. Loss: 0.038611, Train acc 0.970733, Test acc 0.967652
Epoch 5. Batch 0-19. Loss: 0.037724, Train acc 0.976562
Epoch 5. Batch 20-39. Loss: 0.048760, Train acc 0.960938
Epoch 5. Batch 40-59. Loss: 0.041692, Train acc 0.973437
Epoch 5. Batch 60-79. Loss: 0.041656, Train acc 0.967187
Epoch 5. Batch 80-99. Loss: 0.035600, Train acc 0.965625
Epoch 5. Batch 100-119. Loss: 0.036220, Train acc 0.971875
Epoch 5. Batch 120-139. Loss: 0.035915, Train acc 0.971875
Epoch 5. Batch 140-159. Loss: 0.037602, Train acc 0.970313
Epoch 5. Batch 160-179. Loss: 0.031326, Train acc 0.973437
Epoch 5. Batch 180-199. Loss: 0.034638, Train acc 0.978125
Epoch 5. Batch 200-219. Loss: 0.040098, Train acc 0.968750
Epoch 5. Batch 220-239. Loss: 0.036739, Train acc 0.971875
